一,one,yī,,
啦,!!,la,,
找,look for,zhǎo,,
研,grind away,yán,,
弄,play with,nòng,,
鼻,nose,bí,,
刑,punishment,xíng,,
型,mold,xíng,,
才,genius,cái,,
财,riches,cái,,
存,deposit,cún,,
在,at,zài,,
乃,only then,nǎi,,
奶,milk,nǎi,,
及,catch up with,jí,,
吸,inhale,xī,,
史,history,shǐ,,
更,even more,gèng,,
硬,hard,yìng,,
又,again,yòu,,
友,friend,yǒu,,
双,pair,shuāng,,
护,protect,hù,,
获,seize,huò,,
观,observe,guān,,
欢,joyous,huān,,
投,throw,tóu,,
没,not have,méi,,
设,establish,shè,,
股,thigh,gǔ,,
支,offshoot,zhī,,
技,skill,jì,,
枝,branch,zhī,,
叔,uncle,shū,,
督,superintend,dū,,
寂,lonely,jì,,
反,against,fǎn,,
板,plank,bǎn,,
返,go back,fǎn,,
派,faction,pài,,
脉,blood vessels,mài,,
爪,claw,zhǎo,,
抓,grab,zhuā,,
采,,cǎi,,
菜,vegetable,cài,,
受,accept,shòu,,
授,confer,shòu,,
爱,love,ài,,
雄,grand,xióng,,
台,platform,tái,,
治,govern,zhì,,
始,commence,shǐ,,
去,go,qù,,
法,method,fǎ,,
至,until,zhì,,
室,room,shì,,
到,arrive,dào,,
互,mutual,hù,,
充,sufficient,chōng,,
育,education,yù,,
流,flow,liú,,
梳,comb,shū,,
山,mountain,shān,,
出,exit,chū,,
击,beat,jī,,
密,secret,mì,,
入,enter,rù,,
内,internal,nèi,,
呐,holler,nà,,
分,part,fēn,,
贫,impoverished,pín,,
公,public,gōng,,
松,pine tree,sōng,,
谷,valley,gǔ,,
浴,bathe,yù,,
欲,desire,yù,,
容,contain,róng,,
溶,dissolve,róng,,
当,work as,dāng,,
档,files,dàng,,
党,political party,dǎng,,
常,often,cháng,,
堂,main room,táng,,
皮,covering,pí,,
波,waves,bō,,
婆,old woman,pó,,
破,break,pò,,
被,quilt,bèi,,
歹,malicious,dǎi,,
列,line up,liè,,
烈,intense,liè,,
死,death,sǐ,,
葬,inter,zàng,,
耳,ear,ěr,,
取,take,qǔ,,
趣,interest,qù,,
最,most,zuì,,
职,job,zhí,,
圣,holy,shèng,,
敢,brave,gǎn,,
严,strict,yán,,
曼,drawn out,màn,,
慢,slow,màn,,
漫,overflow,màn,,
环,ring,huán,,
还,give back,huán,,
夫,husband,fū,,
规,regulations,guī,,
替,replace,tì,,
失,lose,shī,,
臣,feudal official,chén,,
临,be about to,lín,,
贤,worthy,xián,,
坚,firm,jiān,,
力,power,lì,,
另,another,lìng,,
别,don't,bié,,
拐,turn,guǎi,,
男,male,nán,,
功,achievement,gōng,,
奴,slave,nú,,
努,toil,nǔ,,
加,add,jiā,,
贺,congratulate,hè,,
架,shelf,jià,,
协,cooperate,xié,,
行,line of business,háng,,
律,law,lǜ,,
得,must,děi,,
待,treat,dài,,
往,toward,wǎng,,
微,tiny,wēi,,
街,street,jiē,,
德,morality,dé,,
听,listen,tīng,,
厅,hall,tīng,,
禾,standing grain,hé,,
程,journey,chéng,,
和,harmony,hé,,
移,shift,yí,,
秋,autumn,qiū,,
愁,gloomy,chóu,,
利,profit,lì,,
香,perfume,xiāng,,
季,seasons,jì,,
委,committee,wěi,,
秀,elegant,xiù,,
透,penetrate,tòu,,
诱,entice,yòu,,
历,experience,lì,,
米,rice,mǐ,,
迷,lost,mí,,
谜,riddle,mí,,
类,kind,lèi,,
竹,bamboo,zhú,,
笑,laugh,xiào,,
箱,box,xiāng,,
笔,pen,bǐ,,
等,etc.,děng,,
算,calculate,suàn,,
答,answer,dá,,
策,strategy,cè,,
人,person,rén,,
囚,prisoner,qiú,,
份,portion,fèn,,
你,you,nǐ,,
您,you (respectful),nín,,
什,what?,shén,,
条,strip,tiáo,,
值,value,zhí,,
做,make,zuò,,
但,however,dàn,,
住,dwell,zhù,,
位,position,wèi,,
件,piece,jiàn,,
仍,still,réng,,
他,he,tā,,
休,rest,xiū,,
信,faith,xìn,,
依,depend on,yī,,
例,example,lì,,
个,individual,gè,,
健,healthy,jiàn,,
停,halt,tíng,,
倒,upside down,dǎo,,
仁,benevolence,rén,,
优,excellent,yōu,,
伤,wound,shāng,,
保,safeguard,bǎo,,
堡,fort,bǎo,,
付,pay,fù,,
府,government office,fǔ,,
俯,bow one's head,fǔ,,
代,substitute for,dài,,
袋,bag,dài,,
化,transform,huà,,
花,flower,huā,,
货,commodities,huò,,
何,whatwhichwhowherewhy?,hé,,
便,convenient,biàn,,
丈,100 Chinese inches,zhàng,,
使,use,shǐ,,
久,long time,jiǔ,,
亩,Chinese acre,mǔ,,
丙,third,bǐng,,
柄,handle,bǐng,,
肉,meat,ròu,,
腐,rotten,fǔ,,
众,multitude,zhòng,,
坐,sit,zuò,,
座,seat,zuò,,
检,examine,jiǎn,,
脸,face,liǎn,,
来,come,lái,,
麦,wheat,mài,,
喝,drink,hē,,
渴,thirsty,kě,,
任,appoint,rèn,,
廷,royal court,tíng,,
庭,court of law,tíng,,
以,by means of,yǐ,,
似,similar,sì,,
并,combine,bìng,,
拼,piece together,pīn,,
吕,spine,lǚ,,
侣,associate,lǚ,,
荣,glory,róng,,
劳,labor,láo,,
营,camp,yíng,,
善,virtuous,shàn,,
年,year,nián,,
夜,night,yè,,
液,liquid,yè,,
唤,call out,huàn,,
换,exchange,huàn,,
旅,travel,lǚ,,
施,execute,shī,,
游,go swimming,yóu,,
勿,not,wù,,
忽,suddenly,hū,,
物,thing,wù,,
易,easy,yì,,
赐,grant,cì,,
尸,corpse,shī,,
尼,nun,ní,,
呢,woolen cloth,ní,,
泥,mud,ní,,
屋,habitation,wū,,
握,grip,wò,,
居,reside,jū,,
锯,saw,jù,,
层,story,céng,,
局,bureau,jú,,
户,door,hù,,
房,domicile,fáng,,
雇,hire,gù,,
顾,look back,gù,,
示,show,shì,,
社,society,shè,,
视,inspect,shì,,
福,happiness,fú,,
禁,prohibit,jìn,,
襟,front of a garment,jīn,,
宗,religion,zōng,,
崇,worship,chóng,,
祭,offer sacrifice,jì,,
察,scrutinize,chá,,
擦,scrub,cā,,
由,wherefore,yóu,,
抽,take out,chōu,,
油,oil,yóu,,
甲,first,jiǎ,,
押,pawn,yā,,
申,express,shēn,,
伸,extend,shēn,,
神,gods,shén,,
果,fruit,guǒ,,
课,lesson,kè,,
颗,granule,kē,,
斤,catty,jīn,,
所,place,suǒ,,
近,near,jìn,,
斩,hew,zhǎn,,
暂,temporary,zàn,,
渐,gradually,jiàn,,
质,quality,zhì,,
斥,reprimand,chì,,
诉,accuse,sù,,
乍,for the first time,zhà,,
怎,how?,zěn,,
昨,yesterday,zuó,,
作,do,zuò,,
雪,snow,xuě,,
急,anxious,jí,,
寻,seek,xún,,
妇,married woman,fù,,
扫,sweep,sǎo,,
录,record,lù,,
碌,commonplace,lù,,
争,contend,zhēng,,
净,clean,jìng,,
事,matter,shì,,
唐,Tang,táng,,
糖,sugar,táng,,
康,hale,kāng,,
尹,overseer,yǐn,,
伊,Queen Elizabeth,yī,,
君,monarch,jūn,,
裙,skirt,qún,,
群,crowd,qún,,
而,and,ér,,
需,need,xū,,
儒,Confucian,rú,,
瑞,auspicious,ruì,,
端,upright,duān,,
曲,bent,qū,,
斗,big dipper,dǒu,,
料,material,liào,,
科,academic discipline,kē,,
用,utilize,yòng,,
昔,times past,xī,,
借,borrow,jiè,,
错,mistaken,cuò,,
散,scattered,sǎn,,
撒,scatter,sǎ,,
备,prepare,bèi,,
廿,twenty,niàn,,
席,mat,xí,,
度,degrees,dù,,
渡,ferry,dù,,
半,half,bàn,,
伴,partner,bàn,,
胖,fat,pàng,,
判,judge,pàn,,
眷,dependents,juàn,,
拳,boxing,quán,,
胜,victory,shèng,,
片,slice,piàn,,
版,printing plate,bǎn,,
妆,put on makeup,zhuāng,,
壮,robust,zhuàng,,
庄,hamlet,zhuāng,,
装,attire,zhuāng,,
将,General,jiàng,,
之,of,zhī,,
乏,weary,fá,,
眨,blink,zhǎ,,
不,no,bù,,
否,negate,fǒu,,
杯,cup,bēi,,
矢,dart,shǐ,,
族,tribe,zú,,
知,know,zhī,,
智,wisdom,zhì,,
矛,spear,máo,,
柔,gentle,róu,,
揉,knead,róu,,
务,tasks,wù,,
雾,fog,wù,,
予,bestow,yǔ,,
序,preface,xù,,
预,beforehand,yù,,
野,wild,yě,,
班,class,bān,,
弓,bow,gōng,,
引,draw,yǐn,,
强,strong,qiáng,,
弱,weak,ruò,,
弹,bullet,dàn,,
佛,Buddha,fó,,
费,expense,fèi,,
弟,younger brother,dì,,
第,No.,dì,,
巧,adroit,qiǎo,,
身,somebody,shēn,,
射,shoot,shè,,
谢,thank,xiè,,
老,old man,lǎo,,
考,take an exam,kǎo,,
烤,roast,kǎo,,
孝,filial piety,xiào,,
教,teach,jiāo,,
者,someone,zhě,,
着,-ing,zhe,,
猪,pig,zhū,,
追,chase,zhuī,,
帅,commander,shuài,,
师,teacher,shī,,
狮,lion,shī,,
官,bureaucrat,guān,,
管,pipe,guǎn,,
父,father,fù,,
交,mingle,jiāo,,
效,effect,xiào,,
较,relatively,jiào,,
校,school,xiào,,
足,lower leg,zú,,
跑,run,pǎo,,
跳,jump,tiào,,
路,path,lù,,
露,dew,lù,,
骨,skeleton,gǔ,,
滑,slippery,huá,,
过,cross,guò,,
阿,Apollo,ā,,
啊,aah!,ā,,
际,occasion,jì,,
险,perilous,xiǎn,,
随,as you wish,suí,,
阳,Yang,yáng,,
陈,exhibit,chén,,
防,ward off,fáng,,
附,attach,fù,,
院,Inst.,yuàn,,
阵,battle formation,zhèn,,
队,team,duì,,
降,descend,jiàng,,
阶,stairs,jiē,,
穴,hole,xué,,
究,research,jiū,,
突,abruptly,tū,,
空,empty,kōng,,
控,control,kòng,,
边,border,biān,,
深,deep,shēn,,
探,spy,tàn,,
丘,hill,qiū,,
兵,troops,bīng,,
丝,silk,sī,,
线,line,xiàn,,
维,maintain,wéi,,
罗,silk gauze,luó,,
续,continue,xù,,
统,continuum,tǒng,,
给,give,gěi,,
结,tie,jié,,
终,end,zhōng,,
级,rank,jí,,
纪,epoch,jì,,
红,red,hóng,,
约,make an appointment,yuē,,
细,fine,xì,,
紧,tight,jǐn,,
织,weave,zhī,,
网,net,wǎng,,
绿,green,lǜ,,
弯,curved,wān,,
湾,bay,wān,,
恋,be enamored of,liàn,,
变,change,biàn,,
经,scripture,jīng,,
轻,lightweight,qīng,,
后,behind,hòu,,
几,how many?,jǐ,,
机,machine,jī,,
断,sever,duàn,,
继,carry on,jì,,
显,obvious,xiǎn,,
乐,music,yuè,,
药,medicine,yào,,
鸡,chicken,jī,,
么,(suffix),me,,
系,lineage,xì,,
孙,grandchild,sūn,,
却,withdraw,què,,
脚,foot,jiǎo,,
服,apparel,fú,,
命,fate,mìng,,
留,stay,liú,,
溜,slide,liū,,
聊,chat,liáo,,
柳,willow,liǔ,,
令,orders,lìng,,
冷,cold,lěng,,
零,zero,líng,,
领,collar,lǐng,,
通,communicate,tōng,,
勇,courageous,yǒng,,
犯,criminal,fàn,,
危,danger,wēi,,
脆,fragile,cuì,,
印,print,yìn,,
兴,excitement,xìng,,
酒,liquor,jiǔ,,
配,distribute,pèi,,
酋,chieftain,qiú,,
尊,venerate,zūn,,
遵,abide by,zūn,,
豆,beans,dòu,,
头,head,tóu,,
短,short,duǎn,,
礼,ceremony,lǐ,,
体,body,tǐ,,
鼓,drum,gǔ,,
喜,joyful,xǐ,,
厨,kitchen,chú,,
树,timber,shù,,
血,blood,xuè,,
尽,exhausted,jìn,,
盖,lid,gài,,
温,temperature,wēn,,
监,supervise,jiān,,
篮,basket,lán,,
蓝,blue,lán,,
银,silver,yín,,
跟,heel,gēn,,
很,very,hěn,,
根,root,gēn,,
即,immediately,jí,,
节,holiday,jié,,
退,retreat,tuì,,
腿,leg,tuǐ,,
限,limit,xiàn,,
眼,eyelet,yǎn,,
良,high-quality,liáng,,
浪,breakers,làng,,
娘,mom,niáng,,
食,food,shí,,
饭,meal,fàn,,
餐,dine,cān,,
馆,Bldg.,guǎn,,
养,raise,yǎng,,
既,since,jì,,
概,approximate,gài,,
平,even,píng,,
评,evaluate,píng,,
坪,level ground,píng,,
乎,ooh!,hū,,
呼,shout,hū,,
希,hope,xī,,
稀,scarce,xī,,
学,study,xué,,
觉,senses,jué,,
搅,stir,jiǎo,,
凶,,xiōng,,
胸,bosom,xiōng,,
离,leave,lí,,
禽,fowl,qín,,
辛,peppery,xīn,,
办,manage,bàn,,
辩,dispute,biàn,,
壁,partition,bì,,
避,evade,bì,,
新,new,xīn,,
薪,fuel,xīn,,
亲,relatives,qīn,,
衬,inner garments,chèn,,
幸,good fortune,xìng,,
执,clench,zhí,,
报,newspaper,bào,,
叫,call,jiào,,
收,receive,shōu,,
陆,land,lù,,
势,force,shì,,
热,heat,rè,,
艺,technique,yì,,
亥,sign of the hog,hài,,
核,nucleus,hé,,
孩,tot,hái,,
刻,carve,kè,,
该,should,gāi,,
述,narrate,shù,,
术,art,shù,,
杀,kill,shā,,
襄,aid,xiāng,,
让,yield,ràng,,
壤,territory,rǎng,,
寒,frigid,hán,,
赛,competition,sài,,
毒,poison,dú,,
素,vegetarian diet,sù,,
青,blue or green,qīng,,
精,refined,jīng,,
请,invite,qǐng,,
情,feelings,qíng,,
睛,eyeball,jīng,,
清,pure,qīng,,
静,quiet,jìng,,
责,responsibility,zé,,
绩,accomplishments,jì,,
积,accumulate,jī,,
表,surface,biǎo,,
錶,watch,biǎo,,
生,life,shēng,,
星,star,xīng,,
姓,surname,xìng,,
性,sex,xìng,,
害,harm,hài,,
割,cut off,gē,,
慧,intelligent,huì,,
丰,plentiful,fēng,,
春,springtime,chūn,,
泰,tranquil,tài,,
奉,proffer,fèng,,
棒,cudgel,bàng,,
勤,diligent,qín,,
谨,careful,jǐn,,
仅,merely,jǐn,,
汉,Han,hàn,,
难,difficult,nán,,
摊,vendor's stand,tān,,
华,splendor,huá,,
哗,clamor,huá,,
垂,droop,chuí,,
锤,hammer,chuí,,
睡,sleep,shuì,,
今,now,jīn,,
含,harbor,hán,,
念,miss,niàn,,
阴,Yin,yīn,,
荫,shady,yìn,,
西,west,xī,,
要,want,yào,,
腰,waist,yāo,,
票,ticket,piào,,
漂,drift,piào,,
标,mark,biāo,,
贾,merchant,gǔ,,
价,price,jià,,
烟,smoke,yān,,
南,south,nán,,
门,gate,mén,,
们,(plural),men,,
闲,leisure,xián,,
问,ask,wèn,,
间,interval,jiàn,,
简,simple,jiǎn,,
开,open,kāi,,
闻,hear,wén,,
仓,storehouse,cāng,,
枪,gun,qiāng,,
创,initiate,chuàng,,
非,non-,fēi,,
排,row,pái,,
罪,guilt,zuì,,
靠,lean on,kào,,
侯,marquis,hóu,,
候,wait,hòu,,
决,decide,jué,,
快,fast,kuài,,
筷,chopsticks,kuài,,
韦,tanned hide,wéi,,
围,surround,wéi,,
伟,great,wěi,,
卫,defend,wèi,,
岸,shore,àn,,
旱,drought,hàn,,
赶,hurry,gǎn,,
宇,eaves,yǔ,,
余,,yú,,
除,eliminate,chú,,
途,route,tú,,
束,bundle up,shù,,
速,quick,sù,,
辣,spicy hot,là,,
整,entire,zhěng,,
练,practice,liàn,,
拣,opt for,jiǎn,,
重,heavy,zhòng,,
懂,understand,dǒng,,
动,move,dòng,,
种,species,zhǒng,,
病,illness,bìng,,
痛,ache,tòng,,
疯,insane,fēng,,
匹,match,pǐ,,
区,region,qū,,
枢,hub,shū,,
欧,Europe,ōu,,
医,physician,yī,,
仰,look up to,yǎng,,
迎,greet,yíng,,
登,ascend,dēng,,
灯,lamp,dēng,,
证,evidence,zhèng,,
发,send out,fā,,
废,discard,fèi,,
形,shape,xíng,,
影,shadow,yǐng,,
彩,hue,cǎi,,
须,have to,xū,,
珍,rare,zhēn,,
参,participate,cān,,
惨,wretched,cǎn,,
修,repair,xiū,,
文,literature,wén,,
蚊,mosquito,wén,,
彦,erudite,yàn,,
颜,countenance,yán,,
产,products,chǎn,,
率,rate,shuài,,
摔,tumble,shuāi,,
央,center,yāng,,
英,England,yīng,,
巴,crust,bā,,
把,grasp,bǎ,,
爸,papa,bà,,
吧,bar,bā,,
色,color,sè,,
绝,discontinue,jué,,
甘,sweet,gān,,
某,such and such,mǒu,,
其,his-hers-its-theirs,qí,,
期,period of time,qī,,
基,base,jī,,
斯,Sphinx,sī,,
甚,tremendously,shèn,,
贵,expensive,guì,,
遗,bequeath,yí,,
舞,dance,wǔ,,
无,nothing,wú,,
抚,comfort,fǔ,,
且,moreover,qiě,,
姐,older sister,jiě,,
组,group,zǔ,,
祖,ancestor,zǔ,,
助,assist,zhù,,
普,universal,pǔ,,
业,profession,yè,,
对,that's right,duì,,
共,together,gòng,,
供,supply,gōng,,
异,different,yì,,
巷,lane,xiàng,,
港,port,gǎng,,
选,choose,xuǎn,,
井,well,jǐng,,
亚,Asia,yà,,
恶,evil,è,,
角,angle,jiǎo,,
解,untie,jiě,,
嘴,orifice,zuǐ,,
再,once more,zài,,
称,weigh,chēng,,
讲,lecture,jiǎng,,
构,frame,gòu,,
扁,flat,biǎn,,
篇,piece of writing,piān,,
编,compile,biān,,
论,theory,lùn,,
轮,wheel,lún,,
典,canon,diǎn,,
氏,family name,shì,,
纸,paper,zhǐ,,
昏,dusk,hūn,,
婚,marriage,hūn,,
低,low,dī,,
底,bottom,dǐ,,
民,people,mín,,
眠,slumber,mián,,
甫,Fu,fǔ,,
补,patch,bǔ,,
博,knowledgeable,bó,,
搏,wrestle,bó,,
都,metropolis,dū,,
部,department,bù,,
郎,young man,láng,,
乡,countryside,xiāng,,
响,echo,xiǎng,,
段,section,duàn,,
锻,forge,duàn,,
幻,unreal,huàn,,
司,take charge of,sī,,
词,word,cí,,
舟,boat,zhōu,,
船,ship,chuán,,
般,sort,bān,,
盘,tray,pán,,
搬,relocate,bān,,
瓜,melon,guā,,
孤,orphan,gū,,
益,benefit,yì,,
假,vacation,jià,,
虾,shrimp,xiā,,
气,air,qì,,
汽,vapor,qì,,
飞,fly,fēi,,
面,face-to-face,miàn,,
革,leather,gé,,
鞋,shoes,xié,,
馨,fragrant,xīn,,
声,voice,shēng,,
吴,Wu,wú,,
娱,amusement,yú,,
误,error,wù,,
承,undertake,chéng,,
蒸,steam,zhēng,,
牙,tooth,yá,,
穿,pass through,chuān,,
呀,wow!,ya,,
释,explain,shì,,
番,try,fān,,
翻,turn over,fān,,
播,broadcast,bō,,
毛,fur,máo,,
尾,tail,wěi,,
宅,dwelling,zhái,,
托,entrust,tuō,,
为,act,wèi,,
伪,bogus,wěi,,
长,long,cháng,,
张,stretch,zhāng,,
涨,swell,zhàng,,
套,cover,tào,,
展,unfold,zhǎn,,
丧,funeral,sàng,,
雁,wild goose,yàn,,
应,ought to,yīng,,
鸟,bird,niǎo,,
鹰,hawk,yīng,,
鸭,duck,yā,,
岛,island,dǎo,,
遇,encounter,yù,,
万,ten thousand,wàn,,
迈,stride,mài,,
冈,ridge of a hill,gāng,,
刚,just now,gāng,,
缺,deficient,quē,,
宝,treasure,bǎo,,
遥,remote,yáo,,
摇,shake,yáo,,
兔,rabbit,tù,,
逸,flee,yì,,
免,avoid,miǎn,,
晚,nightfall,wǎn,,
象,elephant,xiàng,,
像,likeness,xiàng,,
马,horse,mǎ,,
妈,mama,mā,,
骂,scold,mà,,
吗,yes or no,ma,,
验,check,yàn,,
骑,ride,qí,,
惊,startled,jīng,,
虎,tiger,hǔ,,
虑,ponder,lǜ,,
处,location,chù,,
戏,frolic,xì,,
剧,drama,jù,,
据,certificate,jù,,
鹿,deer,lù,,
尘,dust,chén,,
丽,lovely,lì,,
熊,bear,xióng,,
能,ability,néng,,
态,attitude,tài,,
寅,sign of the tiger,yín,,
演,perform,yǎn,,
辰,sign of the dragon,chén,,
晨,morning,chén,,
农,agriculture,nóng,,
浓,concentrated,nóng,,
送,deliver,sòng,,
鬼,ghost,guǐ,,
魔,demon,mó,,
块,lump,kuài,,
龙,dragon,lóng,,
袭,raid,xí,,
儿,youngster,ér,,
旧,old,jiù,,
写,write,xiě,,
泻,diarrhea,xiè,,
两,dos,liǎng,,
俩,duo,liǎ,,
满,full,mǎn,,
尔,you (literary),ěr,,
弥,fill,mí,,
虚,false,xū,,
联,unite,lián,,
关,shut,guān,,
那,that,nà,,
哪,which?,nǎ,,
巫,witch,wū,,
灵,spirit,líng,,
县,county,xiàn,,
悬,suspend,xuán,,
与,offer,yǔ,,
举,lift up,jǔ,,
脑,brain,nǎo,,
恼,annoyed,nǎo,,
专,specialty,zhuān,,
传,spread,chuán,,
转,rotate,zhuàn,,
团,troupe,tuán,,
黄,yellow,huáng,,
广,extensive,guǎng,,
横,horizontal,héng,,
窗,window,chuāng,,
总,general,zǒng,,
詹,,zhān,,
担,assume,dàn,,
数,number,shù,,
楼,multistory building,lóu,,
独,alone,dú,,
属,belong to,shǔ,,
烂,spoiled,làn,,
兰,orchid,lán,,
从,follow,cóng,,
纵,vertical,zòng,,
齐,identical,qí,,
济,relieve,jì,,
丑,clown,chǒu,,
扭,twist,niǔ,,
卑,lowly,bēi,,
牌,brand,pái,,
号,appellation,hào,,
怪,peculiar,guài,,
赤,crimson,chì,,
亦,likewise,yì,,
极,extreme,jí,,
杂,miscellaneous,zá,,
曰,sayeth,yuē,,
乱,chaos,luàn,,
